category,id,store
homeGoodsOnline,56d1cc3a480cf02f0f888e75,burpee.com
apparelOnline,56d1cc3a480cf02f0f888e76,ChildrensPlace.com
fastFood,56d1cc3a480cf02f0f888e77,dominos
fastFood,56d1cc3a480cf02f0f888e78,captain ds
fastFood,56d1cc3a480cf02f0f888e79,dutch bros
sportingGoodsOnline,56d1cc3a480cf02f0f888e7a,competitivecyclist.com
fastFood,56d1cc3a480cf02f0f888e7b,gigis cupcakes
electronicsOnline,56d1cc3a480cf02f0f888e7c,tivo.com
electronicsOnline,56d1cc3a480cf02f0f888e7d,Crutchfield.com
fastFood,56d1cc3a480cf02f0f888e7e,culvers
fastFood,56d1cc3a480cf02f0f888e7f,round table pizza
fastFood,56d1cc3a480cf02f0f888e80,long john silvers
fastFood,56d1cc3a480cf02f0f888e81,sheetz
fastFood,56d1cc3a480cf02f0f888e82,philly pretzel factory
fastFood,56d1cc3a480cf02f0f888e83,blaze pizza
fastFood,56d1cc3b480cf02f0f888e84,oberweis
apparelOnline,56d1cc3b480cf02f0f888e85,Belk.com
sportingGoodsOnline,56d1cc3b480cf02f0f888e86,bkstr.com
fastFood,56d1cc3b480cf02f0f888e87,el pollo loco
fastFood,56d1cc3b480cf02f0f888e88,kona ice
electronicsOnline,56d1cc3b480cf02f0f888e89,Frys.com
apparelOnline,56d1cc3b480cf02f0f888e8a,eddiebauer.com
fastFood,56d1cc3b480cf02f0f888e8b,bobbys burger palace
homeGoodsOnline,56d1cc3b480cf02f0f888e8c,roomstogo.com
fastFood,56d1cc3b480cf02f0f888e8d,sweetgreen
electronicsOnline,56d1cc3b480cf02f0f888e8e,boostmobile.com
fastFood,56d1cc3b480cf02f0f888e8f,menchies
apparelOnline,56d1cc3b480cf02f0f888e90,LLBean.com
generalMerchandiseOnline,56d1cc3b480cf02f0f888e91,Sears.com
sportingGoodsOnline,56d1cc3b480cf02f0f888e92,mandmdirect.com
sportingGoodsOnline,56d1cc3b480cf02f0f888e93,shop.mbl.com
apparel,56d1cc3b480cf02f0f888e94,
electronicsOnline,56d1cc3b480cf02f0f888e95,dish.com
homeGoodsOnline,56d1cc3b480cf02f0f888e96,nespresso.com
fastFood,56d1cc3b480cf02f0f888e97,starbucks
